base,winner,cfr_total,vf_total,pr_total,winner_lines,winner_hard,winner_struct,winner_goto,winner_bytecode,winner_ext,cfr_present,vf_present,pr_present
com/htmake/reader/lib/tts/service/TTSService,vf,-85.80,-85.84,-82.70,192,0,0,0,0,.java,1,1,1
com/htmake/reader/lib/tts/util/Tools,cfr,-57.74,-57.48,-53.70,87,0,0,0,0,.java,1,1,1
com/htmake/reader/utils/ExtKt,vf,278.50,-612.00,130484.92,1325,0,0,0,0,.kt,1,1,1
com/htmake/reader/utils/IntTypeAdapter,vf,-42.94,-99.56,-45.32,28,0,0,0,0,.kt,1,1,1
com/htmake/reader/utils/LRUCache,vf,-111.96,-176.32,-122.04,166,0,0,0,0,.kt,1,1,1
com/htmake/reader/utils/LongTypeAdapter,vf,-42.94,-99.56,-45.32,28,0,0,0,0,.kt,1,1,1
com/htmake/reader/utils/MongoManager,vf,-52.88,-106.56,-51.56,53,0,0,0,0,.kt,1,1,1
com/htmake/reader/utils/RemoteWebview,vf,883.00,-125.54,-68.20,152,0,0,0,0,.kt,1,1,1
com/htmake/reader/utils/SpringContextUtils,cfr,-53.54,-45.66,-53.42,52,0,0,0,0,.java,1,1,1
com/htmake/reader/utils/UserMutex,vf,922.00,-110.26,108243.52,88,0,0,0,0,.kt,1,1,1
com/htmake/reader/utils/VertExtKt,vf,-39.94,-104.20,-50.42,60,0,0,0,0,.kt,1,1,1
com/htmake/reader/verticle/RestVerticle,vf,2066.50,-163.48,-106.28,349,0,0,0,0,.kt,1,1,1
com/htmake/reader/verticle/RestVerticleKt,vf,-42.60,-92.24,-40.46,12,0,0,0,0,.kt,1,1,1
io/legado/app/adapters/DefaultAdpater,vf,672.00,-118.02,-59.90,76,0,0,0,0,.kt,1,1,1
io/legado/app/adapters/ReaderAdapterHelper,vf,-47.96,-95.30,-45.94,15,0,0,0,0,.kt,1,1,1
io/legado/app/adapters/ReaderAdapterInterface,vf,-85.32,-102.20,-40.70,35,0,0,0,0,.kt,1,1,1
io/legado/app/constant/Action,cfr,-43.00,-40.38,-42.02,50,0,0,0,0,.java,1,1,1
io/legado/app/constant/AppConst,cfr,-57.96,-55.02,-49.74,98,0,0,0,0,.java,1,1,1
io/legado/app/constant/AppPattern,vf,-57.84,-101.60,-56.74,30,0,0,0,0,.kt,1,1,1
io/legado/app/constant/BookType,pr,-30.64,-40.22,-41.60,30,0,0,0,0,.java,1,1,1
io/legado/app/constant/DeepinkBookSource,vf,-43.84,-92.34,-42.78,17,0,0,0,0,.kt,1,1,1
io/legado/app/constant/PreferKey,cfr,-42.68,-40.22,-41.70,34,0,0,0,0,.java,1,1,1
io/legado/app/constant/RSSKeywords,cfr,-42.92,-40.34,-41.94,46,0,0,0,0,.java,1,1,1
io/legado/app/constant/Status,cfr,-42.50,-40.16,-41.52,25,0,0,0,0,.java,1,1,1
io/legado/app/data/entities/BaseBook,vf,-66.80,-100.12,-51.36,56,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/BaseSource,vf,-223.04,-270.66,4487.88,658,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/Book,cfr,-487.66,-401.74,-277.70,1833,0,0,0,0,.java,1,1,1
io/legado/app/data/entities/BookChapter,cfr,-190.88,-165.04,-112.12,544,0,0,0,0,.java,1,1,1
io/legado/app/data/entities/BookGroup,vf,-109.36,-132.00,-71.32,100,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/BookKt,cfr,-42.62,-41.14,-41.56,31,0,0,0,0,.java,1,1,1
io/legado/app/data/entities/BookSource,cfr,-382.16,-310.62,-242.20,1583,0,0,0,0,.java,1,1,1
io/legado/app/data/entities/Bookmark,vf,-136.86,-141.38,-75.76,144,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/Cache,vf,-83.72,-119.76,-61.02,63,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/Cookie,vf,-73.90,-112.58,-58.88,54,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/HttpTTS,vf,-277.18,-299.60,-200.54,680,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/ReplaceRule,cfr,-194.40,-176.32,-102.64,395,0,0,0,0,.java,1,1,1
io/legado/app/data/entities/RssArticle,cfr,-160.76,-148.28,-92.30,438,0,0,0,0,.java,1,1,1
io/legado/app/data/entities/RssSource,cfr,-388.56,-295.92,-251.34,1503,0,0,0,0,.java,1,1,1
io/legado/app/data/entities/SearchBook,cfr,-208.08,-168.16,-121.32,629,0,0,0,0,.java,1,1,1
io/legado/app/data/entities/SearchKeyword,vf,-84.76,-117.28,-62.06,64,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/SearchResult,cfr,-151.00,-150.86,-74.54,275,0,0,0,0,.java,1,1,1
io/legado/app/data/entities/TxtTocRule,vf,-109.42,-129.36,-71.38,93,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/rule/BookInfoRule,vf,-173.18,-184.06,-89.04,228,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/rule/BookListRule,cfr,-61.32,-40.68,-41.26,66,0,0,0,0,.java,1,1,1
io/legado/app/data/entities/rule/ContentRule,vf,-117.94,-146.98,-72.20,124,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/rule/ExploreRule,vf,-162.54,-176.28,-86.04,189,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/rule/SearchRule,vf,-162.54,-176.28,-86.04,189,0,0,0,0,.kt,1,1,1
io/legado/app/data/entities/rule/TocRule,vf,-140.02,-161.62,-78.92,156,0,0,0,0,.kt,1,1,1
io/legado/app/exception/ConcurrentException,cfr,-42.64,-41.20,-42.52,32,0,0,0,0,.java,1,1,1
io/legado/app/exception/ContentEmptyException,cfr,-41.50,-41.08,-41.38,25,0,0,0,0,.java,1,1,1
io/legado/app/exception/NoStackTraceException,vf,-42.60,-93.16,-42.50,8,0,0,0,0,.kt,1,1,1
io/legado/app/exception/RegexTimeoutException,cfr,-41.50,-41.08,-41.38,25,0,0,0,0,.java,1,1,1
io/legado/app/exception/TocEmptyException,cfr,-41.50,-41.08,-41.38,25,0,0,0,0,.java,1,1,1
io/legado/app/help/BookHelp,vf,2281.00,745.72,107913.22,564,1,0,4,52,.kt,1,1,1
io/legado/app/help/BytesEncodingDetect,pr,-421.66,138553.65,-465.12,4056,0,0,0,0,.java,1,1,1
io/legado/app/help/CacheManager,vf,-91.00,-153.42,-86.86,96,0,0,0,0,.kt,1,1,1
io/legado/app/help/DefaultData,cfr,-44.84,-42.28,-42.76,42,0,0,0,0,.java,1,1,1
io/legado/app/help/Encoding,pr,-43.34,-43.26,-43.92,146,0,0,0,0,.java,1,1,1
io/legado/app/help/EncodingDetectHelp,pr,-61.02,-71.10,-71.16,83,0,0,0,0,.java,1,1,1
