base,winner,cfr_total,vf_total,pr_total,winner_lines,winner_hard,winner_struct,winner_goto,winner_bytecode,winner_ext,cfr_present,vf_present,pr_present
me/ag2s/epublib/epub/HtmlProcessor,cfr,-41.26,-40.18,-40.28,13,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/NCXDocumentV2,pr,-92.52,-95.26,-96.76,263,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/NCXDocumentV3,pr,-106.94,-112.28,-113.76,338,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/PackageDocumentBase,pr,-41.60,-41.52,-41.72,86,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/PackageDocumentMetadataReader,pr,-91.72,-91.92,-93.36,168,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/PackageDocumentMetadataWriter,vf,-80.80,-80.82,-80.82,116,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/PackageDocumentReader,vf,-148.14,-153.76,-152.60,288,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/PackageDocumentWriter,cfr,-89.70,-89.46,-88.70,160,0,0,0,0,.java,1,1,1
me/ag2s/epublib/epub/ResourcesLoader,pr,-68.06,-68.20,-72.32,116,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/CollectionUtil,pr,-49.44,-46.78,-49.46,48,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/IOUtil,pr,-165.40,-159.66,-178.28,364,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/NoCloseOutputStream,cfr,-43.54,-43.44,-43.54,27,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/NoCloseWriter,cfr,-44.64,-44.54,-44.64,32,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/ResourceUtil,pr,-66.82,-61.78,-66.88,94,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/StringUtil,cfr,-136.56,-119.00,-129.06,178,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/commons/io/BOMInputStream,pr,-95.30,-95.50,-100.38,169,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/commons/io/ByteOrderMark,vf,-81.88,-82.06,-77.10,103,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/commons/io/IOConsumer,cfr,-42.44,-40.36,-40.46,22,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/commons/io/ProxyInputStream,cfr,-55.36,-55.12,-55.36,118,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/commons/io/XmlStreamReader,vf,-155.84,-165.08,-164.70,404,0,0,0,0,.java,1,1,1
me/ag2s/epublib/util/commons/io/XmlStreamReaderException,cfr,-48.02,-47.96,-48.02,51,0,0,0,0,.java,1,1,1
me/ag2s/umdlib/domain/UmdBook,cfr,-56.40,-56.24,-53.48,70,0,0,0,0,.java,1,1,1
me/ag2s/umdlib/domain/UmdChapters,vf,-80.24,-83.30,-78.42,190,0,0,0,0,.java,1,1,1
me/ag2s/umdlib/domain/UmdCover,pr,-51.62,-51.52,-51.74,62,0,0,0,0,.java,1,1,1
me/ag2s/umdlib/domain/UmdEnd,pr,-41.32,-41.24,-41.34,17,0,0,0,0,.java,1,1,1
me/ag2s/umdlib/domain/UmdHeader,vf,-66.16,-66.60,-66.20,155,0,0,0,0,.java,1,1,1
me/ag2s/umdlib/tool/StreamReader,cfr,-67.06,-66.94,-67.06,128,0,0,0,0,.java,1,1,1
me/ag2s/umdlib/tool/UmdUtils,vf,-77.50,-80.42,-79.24,146,0,0,0,0,.java,1,1,1
me/ag2s/umdlib/tool/WrapOutputStream,pr,-63.44,-63.42,-63.50,100,0,0,0,0,.java,1,1,1
me/ag2s/umdlib/umd/UmdReader,pr,-64.28,-66.70,-68.32,216,0,0,0,0,.java,1,1,1
org/kxml2/io/KXmlParser,pr,-487.04,-510.60,-511.38,1169,0,0,0,0,.java,1,1,1
org/kxml2/io/KXmlSerializer,pr,-200.22,-201.14,-201.40,420,0,0,0,0,.java,1,1,1
org/kxml2/kdom/Document,pr,-66.82,-66.64,-67.80,90,0,0,0,0,.java,1,1,1
org/kxml2/kdom/Element,vf,-117.78,-120.90,-120.68,195,0,0,0,0,.java,1,1,1
org/kxml2/kdom/Node,cfr,-92.96,-92.76,-92.90,198,0,0,0,0,.java,1,1,1
org/kxml2/wap/Wbxml,pr,-40.58,-40.50,-40.60,30,0,0,0,0,.java,1,1,1
org/kxml2/wap/WbxmlParser,pr,-320.02,-329.50,-334.10,830,0,0,0,0,.java,1,1,1
org/kxml2/wap/WbxmlSerializer,pr,-162.92,-160.78,-164.28,389,0,0,0,0,.java,1,1,1
org/kxml2/wap/syncml/SyncML,vf,-44.82,-47.40,-44.96,170,0,0,0,0,.java,1,1,1
org/kxml2/wap/wml/Wml,vf,-42.62,-46.18,-42.76,209,0,0,0,0,.java,1,1,1
org/kxml2/wap/wv/WV,vf,-41.86,-51.40,-42.20,520,0,0,0,0,.java,1,1,1
